,county,max_votes_2016_2000,mean_votes_2016_2000,std_votes_2016_2000,std_3_plus,std_2_plus,std_1_plus,votes_2020,num_std_above_mean_2016_2000,percent_diff_2020_max,votes_2016,votes_2012,votes_2008,votes_2004,votes_2000
0,Monroe,76422,71884,5173.420261297162,87404,82230,77057,87223,2.9649630660691697,0.14133364737902698,74218,72853,76422,74132,61795
1,Cass,23576,22236,1266.0519104681293,26034,24768,23502,26221,3.1475802587956485,0.11219036308109942,22595,22490,23576,22697,19825
2,Hillsdale,20449,19435,1082.1135984729144,22681,21599,20517,23288,3.560624323950256,0.13883319477725073,19940,19100,20449,20216,17473
3,Macomb,419312,398116,27242.606333462296,479843,452601,425358,496523,3.6122461557257814,0.18413734879993895,419312,404086,419216,402410,345559
4,Ottawa,142734,130111,10816.342697973285,162560,151743,140927,168074,3.509781546318177,0.17753303347485533,142734,132312,136268,128643,110599
5,Antrim,13852,13151,848.6292476694401,15696,14848,13999,17327,4.920876827505531,0.2508663008951776,13582,13195,13852,13619,11507
6,Barry,30565,29184,1642.9919780692783,34112,32469,30826,35914,4.096185550405788,0.17500408964501882,30329,28512,30565,30272,26244
7,Iosco,14187,13624,392.95445028654404,14802,14409,14016,15386,4.483980264672259,0.08451399168252625,13361,13344,14187,14006,13222
8,Schoolcraft,4441,4233,136.82338981329178,4643,4506,4369,4745,3.742050249585773,0.06845305111461382,4154,4048,4326,4441,4198
9,Van Buren,34766,32906,1840.1838603791743,38426,36586,34746,39060,3.344231048049706,0.12351147673013864,33274,32837,34766,34174,29482
10,Gogebic,8452,7992,451.3575079690156,9346,8894,8443,8279,0.6358595900872922,-0.020468528159015616,7329,7576,8264,8452,8339
11,Ogemaw,10796,10433,342.1628851877421,11459,11117,10775,11907,4.3078897911187175,0.10290848462393479,10387,10361,10768,10796,9855
12,Leelanau,14757,13864,969.3941613193261,16772,15802,14833,16930,3.162800151207054,0.1472521515213119,14757,14176,14464,13917,12009
13,Missaukee,7492,7150,363.63091177731303,8240,7877,7513,8755,4.4138161746350635,0.1685798184730379,7317,7027,7492,7421,6496
